artifact,column,role,dtype,description,source_url,selection_group,selection_reason,model_use
features_t0/features_t1,candidate_record_id,metadata,object,Stable candidate identifier; metadata only and never a model predictor.,,metadata,Stable join key.,metadata
features_t0/features_t1,linked_record_count,model_candidate_feature,int64,Linked record count.,,coverage,Overall evidence volume.,compact_model_predictor
features_t0/features_t1,state_missing_ratio,model_candidate_feature,float64,State missing ratio.,,coverage,Evidence completeness without exposing PII.,compact_model_predictor
features_t0/features_t1,oos_share_known_state,model_candidate_feature,float64,Oos share known state.,,jurisdiction,Balances OOS evidence against DE evidence instead of using OOS count alone.,compact_model_predictor
features_t0/features_t1,distinct_oos_states,model_candidate_feature,int64,Distinct oos states.,,jurisdiction,Separates repeated evidence in one state from multi-state evidence.,compact_model_predictor
features_t0/features_t1,source_diversity,model_candidate_feature,int64,Source diversity.,,coverage,Number of independent evidence domains represented.,compact_model_predictor
features_t0/features_t1,de_count_90d,model_candidate_feature,int64,De count 90d.,,recency,Recent DE evidence volume.,compact_model_predictor
features_t0/features_t1,historical_oos_count_over_365d,model_candidate_feature,int64,Historical oos count over 365d.,,recency,Separates old residence history from current evidence.,compact_model_predictor
features_t0/features_t1,days_since_latest_oos,model_candidate_feature,float64,Days since latest oos.,,recency,Age of the newest OOS evidence.,compact_model_predictor
features_t0/features_t1,latest_oos_recency_advantage_days,model_candidate_feature,float64,Latest oos recency advantage days.,,migration,Direction and size of the recency difference between latest OOS and DE evidence.,compact_model_predictor
features_t0/features_t1,historical_oos_only,model_candidate_feature,int64,"OOS history exists, latest DE evidence is newer, and no OOS evidence occurs in the latest 365 days.",,migration,Explicit safeguard for old OOS followed by newer DE evidence.,compact_model_predictor
features_t0/features_t1,recent_oos_independent_source_count_90d,model_candidate_feature,int64,Distinct canonical sources with OOS records dated within 90 days of the phase as-of date.,,cross_source,Recent OOS corroboration across canonical sources.,compact_model_predictor
features_t0/features_t1,oos_decay_share_365d,model_candidate_feature,float64,Oos decay share 365d.,,recency,Smooth recency-weighted OOS share rather than a hard historical cutoff alone.,compact_model_predictor
features_t0/features_t1,recent_latest_source_de_count_365d,model_candidate_feature,int64,Recent latest source de count 365d.,,cross_source,Sources whose latest recent state is DE.,compact_model_predictor
features_t0/features_t1,recent_latest_source_oos_count_365d,model_candidate_feature,int64,Recent latest source oos count 365d.,,cross_source,Sources whose latest recent state is OOS.,compact_model_predictor
features_t0/features_t1,recent_cross_source_conflict_present_365d,model_candidate_feature,int64,Recent cross source conflict present 365d.,,cross_source,Recent DE and OOS sources disagree.,compact_model_predictor
features_t0/features_t1,link_confidence_mean,model_candidate_feature,float64,Link confidence mean.,,link_quality,Average reliability of frozen linkage decisions.,compact_model_predictor
features_t0/features_t1,active_address_de_count,model_candidate_feature,int64,Active address de count.,,current_evidence,Current DE address evidence that may counterbalance OOS history.,compact_model_predictor
features_t0/features_t1,active_address_oos_count,model_candidate_feature,int64,Active address oos count.,,current_evidence,Current OOS address evidence.,compact_model_predictor
features_t0/features_t1,active_oos_credential_count,model_candidate_feature,int64,Included credential records explicitly marked active whose credential_state is non-DE.,,current_evidence,Explicitly active OOS credential evidence; credential type remains unknown.,compact_model_predictor
features_t0/features_t1,active_de_credential_count,model_candidate_feature,int64,Included credential records explicitly marked active whose credential_state is DE.,,current_evidence,Explicitly active DE credential evidence.,compact_model_predictor
features_t0/features_t1,de_residency_proxy_present,model_candidate_feature,int64,Latest dated address-state evidence is Delaware.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req,grace_window,Missingness indicator for the non-authoritative DE address-evidence proxy.,compact_model_predictor
