candidate_record_id,label_t0,label_t1
CAN-QCF4GZN8TD,insufficient_evidence,insufficient_evidence
CAN-O523BGV6IR,insufficient_evidence,review_not_warranted
CAN-JUR9CRBOBB,insufficient_evidence,insufficient_evidence
CAN-1EJVSHCWNY,review_not_warranted,review_not_warranted
CAN-NLM2FQOWDX,insufficient_evidence,insufficient_evidence
CAN-2B1096MPJS,review_warranted,review_warranted
CAN-046H2OTGZ2,review_warranted,review_warranted
CAN-M8GSUMHUBV,review_not_warranted,review_not_warranted
CAN-BENX1VQFJF,review_warranted,review_warranted
CAN-MG8XYRNB7R,insufficient_evidence,insufficient_evidence
CAN-N4QFJS875I,insufficient_evidence,insufficient_evidence
CAN-4T5MQ6DTMK,review_not_warranted,review_not_warranted
CAN-Z33ALI17FK,review_not_warranted,review_not_warranted
CAN-SR7RMC873R,insufficient_evidence,review_not_warranted
CAN-ZSGTTG0DNE,review_not_warranted,review_not_warranted
CAN-DZXEHKO5JZ,review_not_warranted,review_not_warranted
CAN-531EC6XM0A,insufficient_evidence,review_not_warranted
CAN-STFR13OJLS,review_not_warranted,review_not_warranted
CAN-I25Z744R3A,review_not_warranted,review_not_warranted
CAN-7UQ40SSRBR,review_not_warranted,review_not_warranted
CAN-UVG366PFKZ,review_not_warranted,review_not_warranted
CAN-VDBBB1U640,insufficient_evidence,insufficient_evidence
CAN-Y1ONULRYLB,review_warranted,insufficient_evidence
CAN-QQXBJU6M6L,insufficient_evidence,insufficient_evidence
CAN-3D99WGLA9F,review_warranted,insufficient_evidence
CAN-RAC3AUDPMW,review_not_warranted,review_not_warranted
CAN-MSNJEAB1GA,review_warranted,review_warranted
CAN-R3PHPYEEK1,review_warranted,review_warranted
CAN-4491B2CKSM,insufficient_evidence,review_not_warranted
CAN-QCQLTNKON8,review_not_warranted,review_not_warranted
CAN-YGWAL6CGCM,review_warranted,review_warranted
CAN-I0MWENXOTY,insufficient_evidence,review_not_warranted
CAN-ZKFSI428I3,review_warranted,review_warranted
CAN-CE82WSAY7G,review_warranted,review_warranted
CAN-VT4PWKOXUS,insufficient_evidence,insufficient_evidence
CAN-WMYE9H5KHU,insufficient_evidence,insufficient_evidence
CAN-G5QOBJADAS,insufficient_evidence,insufficient_evidence
CAN-4HICC8FK63,review_not_warranted,insufficient_evidence
CAN-EY5UH24ZIZ,review_warranted,review_warranted
CAN-UOZRL1V8KU,insufficient_evidence,review_warranted
CAN-BDFTFJSJN7,insufficient_evidence,insufficient_evidence
CAN-2OHE79VIFA,review_not_warranted,review_not_warranted
CAN-Z7ABOKWLUW,review_not_warranted,review_not_warranted
CAN-MMXHM6U1Q3,review_not_warranted,review_not_warranted
CAN-VY0CLY1UJZ,review_not_warranted,insufficient_evidence
CAN-N2OQ035YY8,insufficient_evidence,insufficient_evidence
CAN-682VA03Y7M,review_not_warranted,review_not_warranted
CAN-R86U0E2XY5,insufficient_evidence,review_not_warranted
CAN-ZQ0GWKIZ51,review_warranted,review_warranted
